"Ajax Pro","Ajax Pro"
"Continue shopping","Winkel verder"
"Go to Wishlist","Ga naar je Verlanglijst"
"Are you sure you would like to remove this item from the shopping cart?","Ben je zeker dat je dit product uit je winkelkarretje wil halen?"
"Are you sure you would like to remove this item from the compare products?","Ben je zeker dat je dit product uit de te vergelijken producten wil halen? "
"Are you sure you would like to remove all products from your comparison?","Ben je zeker dat je alle producten uit je vergelijking wil halen? "
"Are you sure you would like to remove this item from the wishlist?","Ben je er zeker van dat je dit product uit je verlanglijstje wil halen?"
"View cart & checkout","Bekijk je winkelkarretje en verifieer"
"Compare Items","Vergelijk de producten"
"center","Midden"
"top","Bovenaan"
"bottom","Onderaan"
"General","Algemeen"
"Location","Plaats"
"Opacity message form (0 - 1)","Dichtheid bericht formulier (0 - 1)"
"Add to Cart","Voeg toe aan winkelwagen"
"Add to Cart","Voeg toe aan winkelwagen"
"Add to Compare","Voeg toe aan vergelijking"
"Add to Wishlist","Voeg toe aan verlanglijstje"
"Enabled","Mogelijk gemaakt"
"Disable On Shopping Cart Page","Laat niet toe op Winkelwagenpagina "
"General","Algemeen"
"Enable Ajax Pro","Ajax Pro toegestaan"
"Message window position","Positie berichten venster"
"Message window opacity (0 - 1)","Berichten venster dichtheid (0 - 1)"
"Message window message","Berichten venster bericht"
"Enable Notice Form","Laat notitie formulier toe"
"Disable On Shopping Cart Page","Laat niet toe op Winkelwagenpagina "
"Enable","Mogelijk gemaakt"
"Enable message window","Laat berichten venster toe "
"Enable delete confirm","Laat toestaan wissen toe"
"My Cart (%s item)","Mijn Winkelwagentje(%s item)"
"My Cart","Mijn Winkelwagentje"
"Product not available","Dit product is niet verkrijgbaar "
"%s was successfully added to your shopping cart.","%s was met succes aan je Winkelwagentje toegevoegd"
"Can not add item to shopping cart","Kan dit item niet aan je winkelwagentje toevoegen"
"Update successful","Update succesvol"
"Shopping cart item(s) remove","Verwijder de producten uit het Winkelwagentje"
"Product %s successfully removed from compare list","Product %s met succes verwijderd uit de vergelijkingslijst"
"Product %s successfully added to compare list","Product %s met succes toegevoegd aan de vergelijkingslijst"
"There was an error while cleared compare list","Er deed zich een fout voor tijdens het leegmaken van de vergelijkingslijst"
"Compare list successfully cleared","De vergelijkingslijst is met succes leeggemaakt"
"My Wishlist (%d items)","Mijn verlanglijstje (%d producten)"
"My Wishlist","Mijn verlanglijstje"
"wishlist model error","Verlanglijstje fouten model"
"productId param not set","productId param niet ingesteld"
"Cannot specify product","Kan dit product niet specifieren"
"%1$s was successfully added to your wishlist. Click <a href=%2$s"">here</a> to continue shopping""","%1$s werd met succes aan je verlanglijstje. Klik <a href=%2$s"">here</a> om verder te winkelen"",""%1$s werd met succes toegevoegd aan je verlanglijstje. Klik <a href=""%2$s"">here</a> om verder te winkelen"""
"There was an error while adding item to wishlist: %s","Er deed zich een fout voor toen het product aan het verlanglijstje werd toegevoegd %s"
"There was an error while adding item to wishlist.","Er deed zich een fout voor toen het product aan het verlanglijstje werd toegevoegd"
"There was an error while deleting item from wishlist: %s","Er deed zich een fout voor toen het product gewist werd van het verlanglijstje"
"There was an error while deleting item from wishlist.","Er deed zich een fout voor tijdens het leegmaken van het verlanglijstje"
"Redirect","Omleiden"
"Action was complete","Handeling was compleet"
